week,first,last,both
358,g,p,gp
357,s,s,ss
356,d,m,dm
355,o,b,ob
354,c,m,cm
353,r,n,rn
352,p,t,pt
351,s,a,sa
350,n,s,ns
349,b,l,bl
348,m,e,me
347,j,j,jj
346,t,t,tt
346,a,k,ak
346,d,a,da
345,v,b,vb
344,d,r,dr
343,s,f,sf
342,c,t,ct
341,b,f,bf
340,m,w,mw
339,j,w,jw
338,r,h,rh
337,p,w,pw
336,f,s,fs
335,a,f,af
334,c,h,ch
333,m,g,mg
332,s,m,sm
331,b,r,br
330,m,j,mj
329,p,v,pv
328,b,c,bc
327,g,f,gf
326,r,g,rg
325,t,g,tg
324,u,s,us
323,m,h,mh
322,p,p,pp
321,g,g,gg
320,r,m,rm
319,m,c,mc
318,o,r,or
317,c,f,cf
316,a,a,aa
315,s,i,si
314,h,m,hm
313,b,m,bm
312,c,a,ca
311,r,s,rs
310,h,t,ht
309,w,a,wa
308,f,h,fh
307,m,d,md
306,m,k,mk
305,p,f,pf
304,c,b,cb
303,f,m,fm
302,d,d,dd
301,s,h,sh
300,a,j,aj
299,b,b,bb
298,s,r,sr
297,r,c,rc
297,s,w,sw
297,a,d,ad
296,t,r,tr
295,s,c,sc
294,l,l,ll
293,u,c,uc
292,b,p,bp
291,h,p,hp
290,t,c,tc
289,c,i,ci
288,b,a,ba
287,k,t,kt
286,h,h,hh
285,w,s,ws
284,r,l,rl
283,p,r,pr
282,s,g,sg
281,s,b,sb
280,c,e,ce
279,m,m,mm
278,m,t,mt
277,e,m,em
276,r,w,rw
275,a,m,am
274,t,p,tp
273,f,l,fl
272,p,d,pd
272,s,p,sp
272,b,n,bn
271,c,k,ck
270,i,s,is
269,e,e,ee
268,p,m,pm
267,b,s,bs
266,b,w,bw
265,f,c,fc
264,e,r,er
263,b,d,bd
263,d,l,dl
263,p,p,pp
262,c,w,cw
261,s,j,sj
260,d,b,db
259,w,r,wr
258,g,b,gb
257,f,a,fa
256,s,s,ss
255,t,w,tw
254,f,f,ff
253,j,m,jm
252,a,r,ar
251,e,b,eb
250,t,f,tf
249,t,l,tl
248,g,p,gp
247,s,b,sb
246,d,s,ds
246,m,s,ms
